IP地址,采集时间,磁盘,磁盘使用率
10.185.2.101,2017/4/23 17:20,D:,87.44
10.185.2.101,2017/4/23 17:20,C:,71.2
10.185.2.101,2017/4/23 17:35,C:,71.2
10.185.2.101,2017/4/23 17:35,D:,87.44
10.185.2.101,2017/4/23 17:45,D:,87.44
10.185.2.101,2017/4/23 17:45,C:,71.2
10.185.2.101,2017/4/23 18:00,D:,87.44
10.185.2.101,2017/4/23 18:00,C:,71.2
10.185.2.101,2017/4/23 18:10,D:,87.44
10.185.2.101,2017/4/23 18:10,C:,71.2
10.185.2.101,2017/4/23 18:25,D:,87.44
10.185.2.101,2017/4/23 18:25,C:,71.2
10.185.2.101,2017/4/23 18:40,D:,87.44
10.185.2.101,2017/4/23 18:40,C:,71.2
10.185.2.101,2017/4/23 18:50,D:,87.44
10.185.2.101,2017/4/23 18:50,C:,71.2
10.185.2.101,2017/4/23 19:05,D:,87.44
10.185.2.101,2017/4/23 19:05,C:,71.2
10.185.2.101,2017/4/23 19:15,D:,87.44
10.185.2.101,2017/4/23 19:15,C:,71.2
10.185.2.101,2017/4/23 19:30,D:,87.44
10.185.2.101,2017/4/23 19:30,C:,71.2
10.185.2.101,2017/4/23 19:45,C:,71.2
10.185.2.101,2017/4/23 19:45,D:,87.44
10.185.2.101,2017/4/23 19:55,D:,87.44
10.185.2.101,2017/4/23 19:55,C:,71.2
10.185.2.101,2017/4/23 20:10,C:,71.2
10.185.2.101,2017/4/23 20:10,D:,87.44
10.185.2.101,2017/4/23 20:20,D:,87.44
10.185.2.101,2017/4/23 20:20,C:,71.2
10.185.2.101,2017/4/23 20:35,D:,87.44
10.185.2.101,2017/4/23 20:35,C:,71.2
10.185.2.101,2017/4/23 20:50,C:,71.2
10.185.2.101,2017/4/23 20:50,D:,87.44
10.185.2.101,2017/4/23 21:00,D:,87.44
10.185.2.101,2017/4/23 21:00,C:,71.2
10.185.2.101,2017/4/23 21:15,C:,71.2
10.185.2.101,2017/4/23 21:15,D:,87.44
10.185.2.101,2017/4/23 21:25,D:,87.44
10.185.2.101,2017/4/23 21:25,C:,71.2
10.185.2.101,2017/4/23 21:40,D:,87.44
10.185.2.101,2017/4/23 21:40,C:,71.2
10.185.2.101,2017/4/23 21:55,D:,87.44
10.185.2.101,2017/4/23 21:55,C:,71.2
10.185.2.101,2017/4/23 22:05,C:,71.2
10.185.2.101,2017/4/23 22:05,D:,87.44
10.185.2.101,2017/4/23 22:20,C:,71.2
10.185.2.101,2017/4/23 22:20,D:,87.44
10.185.2.101,2017/4/23 22:30,D:,87.44
10.185.2.101,2017/4/23 22:30,C:,71.2
10.185.2.101,2017/4/23 22:45,C:,71.2
10.185.2.101,2017/4/23 22:45,D:,87.44
10.185.2.101,2017/4/23 23:00,C:,71.2
10.185.2.101,2017/4/23 23:00,D:,87.44
10.185.2.101,2017/4/23 23:10,C:,71.2
10.185.2.101,2017/4/23 23:10,D:,87.44
10.185.2.101,2017/4/23 23:25,D:,87.44
10.185.2.101,2017/4/23 23:25,C:,71.2
10.185.2.101,2017/4/23 23:35,C:,71.2
10.185.2.101,2017/4/23 23:35,D:,87.44
10.185.2.101,2017/4/23 23:50,C:,71.2
10.185.2.101,2017/4/23 23:50,D:,87.44
10.185.2.101,2017/4/24 0:05,C:,71.2
10.185.2.101,2017/4/24 0:05,D:,87.44
10.185.2.101,2017/4/24 0:15,D:,87.44
10.185.2.101,2017/4/24 0:15,C:,71.2
10.185.2.101,2017/4/24 0:30,C:,71.2
10.185.2.101,2017/4/24 0:30,D:,87.44
10.185.2.101,2017/4/24 0:40,C:,71.2
10.185.2.101,2017/4/24 0:40,D:,87.44
10.185.2.101,2017/4/24 0:55,D:,87.44
10.185.2.101,2017/4/24 0:55,C:,71.2
10.185.2.101,2017/4/24 1:10,C:,71.2
10.185.2.101,2017/4/24 1:10,D:,87.44
10.185.2.101,2017/4/24 1:20,D:,87.44
10.185.2.101,2017/4/24 1:20,C:,71.2
10.185.2.101,2017/4/24 1:35,D:,87.44
10.185.2.101,2017/4/24 1:35,C:,71.2
10.185.2.101,2017/4/24 1:45,C:,71.2
10.185.2.101,2017/4/24 1:45,D:,87.44
10.185.2.101,2017/4/24 2:00,C:,71.2
10.185.2.101,2017/4/24 2:00,D:,87.44
10.185.2.101,2017/4/24 2:15,C:,71.2
10.185.2.101,2017/4/24 2:15,D:,87.44
10.185.2.101,2017/4/24 2:25,C:,71.2
10.185.2.101,2017/4/24 2:25,D:,87.44
10.185.2.101,2017/4/24 2:40,C:,71.2
10.185.2.101,2017/4/24 2:40,D:,87.44
10.185.2.101,2017/4/24 2:50,D:,87.44
10.185.2.101,2017/4/24 2:50,C:,71.2
10.185.2.101,2017/4/24 3:05,D:,87.44
10.185.2.101,2017/4/24 3:05,C:,71.2
10.185.2.101,2017/4/24 3:20,C:,71.2
10.185.2.101,2017/4/24 3:20,D:,87.44
10.185.2.101,2017/4/24 3:30,C:,71.2
10.185.2.101,2017/4/24 3:30,D:,87.44
10.185.2.101,2017/4/24 3:45,D:,87.44
10.185.2.101,2017/4/24 3:45,C:,71.2
10.185.2.101,2017/4/24 3:55,D:,87.44
10.185.2.101,2017/4/24 3:55,C:,71.2
10.185.2.101,2017/4/24 4:10,C:,71.2
10.185.2.101,2017/4/24 4:10,D:,87.44
10.185.2.101,2017/4/24 4:25,D:,87.44
10.185.2.101,2017/4/24 4:25,C:,71.2
10.185.2.101,2017/4/24 4:35,C:,71.2
10.185.2.101,2017/4/24 4:35,D:,87.44
10.185.2.101,2017/4/24 4:50,D:,87.44
10.185.2.101,2017/4/24 4:50,C:,71.2
10.185.2.101,2017/4/24 5:00,D:,87.44
10.185.2.101,2017/4/24 5:00,C:,71.2
10.185.2.101,2017/4/24 5:15,C:,71.2
10.185.2.101,2017/4/24 5:15,D:,87.44
10.185.2.101,2017/4/24 5:30,D:,87.44
10.185.2.101,2017/4/24 5:30,C:,71.2
10.185.2.101,2017/4/24 5:40,C:,71.2
10.185.2.101,2017/4/24 5:40,D:,87.44
10.185.2.101,2017/4/24 5:55,D:,87.44
10.185.2.101,2017/4/24 5:55,C:,71.2
10.185.2.101,2017/4/24 6:05,C:,71.2
10.185.2.101,2017/4/24 6:05,D:,87.44
10.185.2.101,2017/4/24 6:20,C:,71.2
10.185.2.101,2017/4/24 6:20,D:,87.44
10.185.2.101,2017/4/24 6:35,C:,71.2
10.185.2.101,2017/4/24 6:35,D:,87.44
10.185.2.101,2017/4/24 6:45,C:,71.2
10.185.2.101,2017/4/24 6:45,D:,87.44
10.185.2.101,2017/4/24 7:00,D:,87.44
10.185.2.101,2017/4/24 7:00,C:,71.2
10.185.2.101,2017/4/24 7:10,D:,87.44
10.185.2.101,2017/4/24 7:10,C:,71.2
10.185.2.101,2017/4/24 7:25,D:,87.44
10.185.2.101,2017/4/24 7:25,C:,71.2
10.185.2.101,2017/4/24 7:40,D:,87.44
10.185.2.101,2017/4/24 7:40,C:,71.2
10.185.2.101,2017/4/24 7:50,C:,71.2
10.185.2.101,2017/4/24 7:50,D:,87.44
10.185.2.101,2017/4/24 8:05,D:,87.44
10.185.2.101,2017/4/24 8:05,C:,71.2
10.185.2.101,2017/4/24 8:15,C:,71.2
10.185.2.101,2017/4/24 8:15,D:,87.44
10.185.2.101,2017/4/24 8:30,D:,87.44
10.185.2.101,2017/4/24 8:30,C:,71.2
10.185.2.101,2017/4/24 8:45,D:,87.44
10.185.2.101,2017/4/24 8:45,C:,71.2
10.185.2.101,2017/4/24 8:55,C:,71.2
10.185.2.101,2017/4/24 8:55,D:,87.44
10.185.2.101,2017/4/24 9:10,C:,71.2
10.185.2.101,2017/4/24 9:10,D:,87.44
10.185.2.101,2017/4/24 9:20,C:,71.2
10.185.2.101,2017/4/24 9:20,D:,87.44
10.185.2.101,2017/4/24 9:35,D:,87.44
10.185.2.101,2017/4/24 9:35,C:,71.2
10.185.2.101,2017/4/24 9:50,D:,87.44
10.185.2.101,2017/4/24 9:50,C:,71.2
10.185.2.101,2017/4/24 10:00,C:,71.2
10.185.2.101,2017/4/24 10:00,D:,87.44
10.185.2.101,2017/4/24 10:15,C:,71.2
10.185.2.101,2017/4/24 10:15,D:,87.44
10.185.2.101,2017/4/24 10:25,D:,87.44
10.185.2.101,2017/4/24 10:25,C:,71.2
10.185.2.101,2017/4/24 10:40,D:,87.44
10.185.2.101,2017/4/24 10:40,C:,71.2
10.185.2.101,2017/4/24 10:55,D:,87.44
10.185.2.101,2017/4/24 10:55,C:,71.2
10.185.2.101,2017/4/24 11:05,D:,87.44
10.185.2.101,2017/4/24 11:05,C:,71.2
10.185.2.101,2017/4/24 11:20,C:,71.2
10.185.2.101,2017/4/24 11:20,D:,87.44
10.185.2.101,2017/4/24 11:30,C:,71.2
10.185.2.101,2017/4/24 11:30,D:,87.44
10.185.2.101,2017/4/24 11:55,D:,87.44
10.185.2.101,2017/4/24 12:10,D:,87.44
10.185.2.101,2017/4/24 12:10,C:,71.2
10.185.2.101,2017/4/24 12:20,D:,87.44
10.185.2.101,2017/4/24 12:20,C:,71.2
10.185.2.101,2017/4/24 12:35,D:,87.44
