IP地址,采集时间,内存使用率
10.185.4.7,2017/1/8 1:05,87.96
10.185.4.7,2017/1/8 1:20,86.95
10.185.4.7,2017/1/8 1:35,85.4
10.185.4.7,2017/1/8 1:50,85.09
10.185.4.7,2017/1/8 2:05,85.55
10.185.4.7,2017/1/8 2:20,86.48
10.185.4.7,2017/1/8 2:35,86.01
10.185.4.7,2017/1/8 2:50,85.74
10.185.4.7,2017/1/8 3:05,86.17
10.185.4.7,2017/1/8 3:20,85.69
10.185.4.7,2017/1/8 3:35,84.84
10.185.4.7,2017/1/8 3:50,84.75
10.185.4.7,2017/1/8 4:05,84.25
10.185.4.7,2017/1/8 4:20,84.77
10.185.4.7,2017/1/8 4:35,86.12
10.185.4.7,2017/1/8 4:50,86.19
10.185.4.7,2017/1/8 5:05,86.03
10.185.4.7,2017/1/8 5:20,85.65
10.185.4.7,2017/1/8 5:35,85.48
10.185.4.7,2017/1/8 5:50,85.55
10.185.4.7,2017/1/8 6:05,85.37
10.185.4.7,2017/1/8 6:20,84.29
10.185.4.7,2017/1/8 6:35,84.21
10.185.4.7,2017/1/8 6:50,84.28
10.185.4.7,2017/1/8 7:05,84.23
10.185.4.7,2017/1/8 7:20,84.21
10.185.4.7,2017/1/8 7:35,84.21
10.185.4.7,2017/1/8 7:55,84.22
10.185.4.7,2017/1/8 8:05,84.24
10.185.4.7,2017/1/8 8:20,84.22
10.185.4.7,2017/1/8 8:35,84.22
10.185.4.7,2017/1/8 8:50,84.22
10.185.4.7,2017/1/8 9:05,84.27
10.185.4.7,2017/1/8 9:20,84.25
10.185.4.7,2017/1/8 9:35,84.28
10.185.4.7,2017/1/8 9:50,84.28
10.185.4.7,2017/1/8 10:05,85.45
10.185.4.7,2017/1/8 10:20,84.04
10.185.4.7,2017/1/8 10:35,83.98
10.185.4.7,2017/1/8 10:50,85.83
10.185.4.7,2017/1/8 11:05,85.6
10.185.4.7,2017/1/8 11:20,85.55
10.185.4.7,2017/1/8 11:35,85.86
10.185.4.7,2017/1/8 11:50,85.94
10.185.4.7,2017/1/8 12:05,85.93
10.185.4.7,2017/1/8 12:20,85.99
10.185.4.7,2017/1/8 12:35,86.06
10.185.4.7,2017/1/8 12:50,86.42
10.185.4.7,2017/1/8 13:05,86.31
10.185.4.7,2017/1/8 13:20,86.28
10.185.4.7,2017/1/8 13:35,84.12
10.185.4.7,2017/1/8 13:50,84.13
10.185.4.7,2017/1/8 14:05,84.18
10.185.4.7,2017/1/8 14:20,84.2
10.185.4.7,2017/1/8 14:35,84.2
10.185.4.7,2017/1/8 14:50,84.16
10.185.4.7,2017/1/8 15:05,84.52
10.185.4.7,2017/1/8 15:20,84.07
10.185.4.7,2017/1/8 15:35,84.07
10.185.4.7,2017/1/8 15:50,84.14
10.185.4.7,2017/1/8 16:05,84.12
10.185.4.7,2017/1/8 16:20,84.23
10.185.4.7,2017/1/8 16:35,83.98
10.185.4.7,2017/1/8 16:50,83.99
10.185.4.7,2017/1/8 17:05,84.72
10.185.4.7,2017/1/8 17:20,85.86
10.185.4.7,2017/1/8 17:35,84.56
10.185.4.7,2017/1/8 18:05,83.11
10.185.4.7,2017/1/8 18:20,83.13
10.185.4.7,2017/1/8 18:35,83.13
10.185.4.7,2017/1/8 18:50,83.12
10.185.4.7,2017/1/8 19:05,83.61
10.185.4.7,2017/1/8 19:20,83.22
10.185.4.7,2017/1/8 19:35,83.25
10.185.4.7,2017/1/8 19:50,83.8
10.185.4.7,2017/1/8 20:05,83.84
10.185.4.7,2017/1/8 20:20,83.9
10.185.4.7,2017/1/8 20:35,83.78
10.185.4.7,2017/1/8 20:50,83.87
10.185.4.7,2017/1/8 21:05,85.87
10.185.4.7,2017/1/8 21:20,84.39
10.185.4.7,2017/1/8 21:35,83.84
10.185.4.7,2017/1/8 21:50,83.93
10.185.4.7,2017/1/8 22:05,84.29
10.185.4.7,2017/1/8 22:20,84.94
10.185.4.7,2017/1/8 22:35,85.07
10.185.4.7,2017/1/8 22:50,84.6
10.185.4.7,2017/1/8 23:05,84.55
10.185.4.7,2017/1/8 23:20,84.64
10.185.4.7,2017/1/8 23:35,84.51
10.185.4.7,2017/1/8 23:50,84.64
10.185.4.7,2017/1/9 0:05,85.81
10.185.4.7,2017/1/9 0:35,86.47
10.185.4.7,2017/1/9 0:50,86.44
10.185.4.7,2017/1/9 1:05,86.46
10.185.4.7,2017/1/9 1:20,86.24
10.185.4.7,2017/1/9 1:35,86.8
10.185.4.7,2017/1/9 1:50,86.88
10.185.4.7,2017/1/9 2:05,86.88
10.185.4.7,2017/1/9 2:20,86.86
10.185.4.7,2017/1/9 2:35,87.22
10.185.4.7,2017/1/9 2:50,87.2
10.185.4.7,2017/1/9 3:05,87.6
10.185.4.7,2017/1/9 3:20,85.86
10.185.4.7,2017/1/9 3:35,85.87
10.185.4.7,2017/1/9 3:50,86.14
10.185.4.7,2017/1/9 4:05,86.24
10.185.4.7,2017/1/9 4:20,86.79
10.185.4.7,2017/1/9 4:35,87.89
10.185.4.7,2017/1/9 4:50,88.29
10.185.4.7,2017/1/9 5:05,87.86
10.185.4.7,2017/1/9 5:20,86.48
10.185.4.7,2017/1/9 5:35,85.23
10.185.4.7,2017/1/9 6:20,84.31
10.185.4.7,2017/1/9 6:35,84.44
10.185.4.7,2017/1/9 6:50,84.44
10.185.4.7,2017/1/9 7:05,84.42
10.185.4.7,2017/1/9 7:20,83.35
10.185.4.7,2017/1/9 7:35,83.34
10.185.4.7,2017/1/9 7:50,83.34
10.185.4.7,2017/1/9 8:05,83.36
10.185.4.7,2017/1/9 8:20,83.29
10.185.4.7,2017/1/9 8:35,83.2
10.185.4.7,2017/1/9 8:50,83.42
10.185.4.7,2017/1/9 9:05,83.72
10.185.4.7,2017/1/9 9:20,83.26
10.185.4.7,2017/1/9 9:35,83.49
10.185.4.7,2017/1/9 9:50,82.98
10.185.4.7,2017/1/9 10:05,83.04
10.185.4.7,2017/1/9 10:20,83.16
10.185.4.7,2017/1/9 10:35,83.64
10.185.4.7,2017/1/9 10:50,84.67
10.185.4.7,2017/1/9 11:05,86.61
10.185.4.7,2017/1/9 11:20,87.59
10.185.4.7,2017/1/9 11:35,88.01
10.185.4.7,2017/1/9 11:50,87.76
10.185.4.7,2017/1/9 12:05,87.48
10.185.4.7,2017/1/9 12:20,85.73
10.185.4.7,2017/1/9 12:35,85.87
10.185.4.7,2017/1/9 13:05,87.55
10.185.4.7,2017/1/9 13:20,86.43
10.185.4.7,2017/1/9 13:35,86.15
10.185.4.7,2017/1/9 13:50,83.84
10.185.4.7,2017/1/9 14:05,84.01
10.185.4.7,2017/1/9 14:20,84.49
10.185.4.7,2017/1/9 14:35,83.39
10.185.4.7,2017/1/9 14:50,84.16
10.185.4.7,2017/1/9 15:05,84.05
10.185.4.7,2017/1/9 15:20,84.18
10.185.4.7,2017/1/9 15:35,84.37
10.185.4.7,2017/1/9 15:50,85.06
10.185.4.7,2017/1/9 16:05,85.28
10.185.4.7,2017/1/9 16:20,84.56
10.185.4.7,2017/1/9 16:35,84.82
10.185.4.7,2017/1/9 16:50,85.7
10.185.4.7,2017/1/9 17:05,87.07
10.185.4.7,2017/1/9 17:20,86.08
10.185.4.7,2017/1/9 17:35,83.87
10.185.4.7,2017/1/9 17:50,84.67
10.185.4.7,2017/1/9 18:05,85.87
10.185.4.7,2017/1/9 18:20,86.13
10.185.4.7,2017/1/9 18:35,85.21
10.185.4.7,2017/1/9 18:50,85.11
10.185.4.7,2017/1/9 19:05,84.26
10.185.4.7,2017/1/9 19:20,83.92
10.185.4.7,2017/1/9 19:35,84.4
10.185.4.7,2017/1/9 19:50,84.32
10.185.4.7,2017/1/9 20:20,84.73
10.185.4.7,2017/1/9 20:35,84.81
10.185.4.7,2017/1/9 20:50,84.96
10.185.4.7,2017/1/9 21:05,85.15
10.185.4.7,2017/1/9 21:20,84.97
10.185.4.7,2017/1/9 21:35,84.59
10.185.4.7,2017/1/9 21:50,84.49
10.185.4.7,2017/1/9 22:05,84.6
10.185.4.7,2017/1/9 22:20,84.31
10.185.4.7,2017/1/9 22:35,84.75
10.185.4.7,2017/1/9 22:50,84.69
10.185.4.7,2017/1/9 23:05,84.78
10.185.4.7,2017/1/9 23:20,84.77
10.185.4.7,2017/1/9 23:35,83.87
10.185.4.7,2017/1/9 23:50,83.8
10.185.4.7,2017/1/10 0:05,86.03
10.185.4.7,2017/1/10 0:20,87.2
10.185.4.7,2017/1/10 0:35,87.66
10.185.4.7,2017/1/10 0:50,88.1
10.185.4.7,2017/1/10 1:05,88.21
10.185.4.7,2017/1/10 1:20,88.22
10.185.4.7,2017/1/10 1:35,89.28
10.185.4.7,2017/1/10 1:50,89.75
10.185.4.7,2017/1/10 2:05,89.73
10.185.4.7,2017/1/10 2:20,89.66
10.185.4.7,2017/1/10 2:35,90.34
10.185.4.7,2017/1/10 2:50,90.08
10.185.4.7,2017/1/10 3:05,90.46
10.185.4.7,2017/1/10 3:20,87.85
10.185.4.7,2017/1/10 3:35,88.85
10.185.4.7,2017/1/10 3:50,87.64
10.185.4.7,2017/1/10 4:05,87.75
10.185.4.7,2017/1/10 4:20,87.37
10.185.4.7,2017/1/10 4:35,87.23
10.185.4.7,2017/1/10 5:05,86.99
10.185.4.7,2017/1/10 5:20,87.05
10.185.4.7,2017/1/10 5:35,85.77
10.185.4.7,2017/1/10 5:50,85.74
10.185.4.7,2017/1/10 6:05,85.99
10.185.4.7,2017/1/10 6:20,86.09
10.185.4.7,2017/1/10 6:35,86.2
10.185.4.7,2017/1/10 6:50,86.26
10.185.4.7,2017/1/10 7:05,86.17
10.185.4.7,2017/1/10 7:20,85.7
10.185.4.7,2017/1/10 7:35,85.72
10.185.4.7,2017/1/10 7:50,85.69
10.185.4.7,2017/1/10 8:05,85.19
10.185.4.7,2017/1/10 8:20,85.2
10.185.4.7,2017/1/10 8:35,83.71
10.185.4.7,2017/1/10 8:50,84.48
10.185.4.7,2017/1/10 9:20,85.9
10.185.4.7,2017/1/10 9:35,85.92
10.185.4.7,2017/1/10 9:50,85.1
10.185.4.7,2017/1/10 10:05,85.33
10.185.4.7,2017/1/10 10:20,85.48
10.185.4.7,2017/1/10 10:35,83.68
10.185.4.7,2017/1/10 10:50,83.18
10.185.4.7,2017/1/10 11:05,83.57
10.185.4.7,2017/1/10 11:20,83.35
10.185.4.7,2017/1/10 11:35,83.52
10.185.4.7,2017/1/10 11:50,83.64
10.185.4.7,2017/1/10 12:05,83.48
10.185.4.7,2017/1/10 12:20,83.16
10.185.4.7,2017/1/10 12:35,83.01
10.185.4.7,2017/1/10 12:50,83.13
10.185.4.7,2017/1/10 13:05,82.85
10.185.4.7,2017/1/10 13:20,82.97
10.185.4.7,2017/1/10 13:35,82.94
10.185.4.7,2017/1/10 13:50,83.14
10.185.4.7,2017/1/10 14:05,82.89
10.185.4.7,2017/1/10 14:20,83.07
10.185.4.7,2017/1/10 14:35,83.07
10.185.4.7,2017/1/10 14:50,83.13
10.185.4.7,2017/1/10 15:05,82.82
10.185.4.7,2017/1/10 15:20,82.85
10.185.4.7,2017/1/10 15:35,86.71
10.185.4.7,2017/1/10 15:50,86.46
10.185.4.7,2017/1/10 16:05,82.92
10.185.4.7,2017/1/10 16:20,83.42
10.185.4.7,2017/1/10 16:35,84.85
10.185.4.7,2017/1/10 16:50,82.86
10.185.4.7,2017/1/10 17:05,84.16
10.185.4.7,2017/1/10 17:20,84.78
10.185.4.7,2017/1/10 17:35,84.61
10.185.4.7,2017/1/10 17:50,84.67
10.185.4.7,2017/1/10 18:05,84.68
10.185.4.7,2017/1/10 18:20,85.31
10.185.4.7,2017/1/10 18:35,84.67
10.185.4.7,2017/1/10 18:50,84.56
10.185.4.7,2017/1/10 19:05,85.04
10.185.4.7,2017/1/10 19:20,85
10.185.4.7,2017/1/10 19:35,85.61
10.185.4.7,2017/1/10 19:50,84.73
10.185.4.7,2017/1/10 20:05,84.6
10.185.4.7,2017/1/10 20:20,84.68
10.185.4.7,2017/1/10 20:35,84.68
10.185.4.7,2017/1/10 20:50,84.62
10.185.4.7,2017/1/10 21:05,84.71
10.185.4.7,2017/1/10 21:20,84.93
10.185.4.7,2017/1/10 21:35,84.97
10.185.4.7,2017/1/10 21:50,84.59
10.185.4.7,2017/1/10 22:05,84.56
10.185.4.7,2017/1/10 22:20,84.9
10.185.4.7,2017/1/10 22:35,86.24
10.185.4.7,2017/1/10 22:50,86.3
10.185.4.7,2017/1/10 23:05,87.04
10.185.4.7,2017/1/10 23:20,86.7
10.185.4.7,2017/1/10 23:35,86.71
10.185.4.7,2017/1/10 23:50,86.68
10.185.4.7,2017/1/11 0:05,88.36
10.185.4.7,2017/1/11 0:20,88.78
10.185.4.7,2017/1/11 0:35,89.4
10.185.4.7,2017/1/11 0:50,89.8
10.185.4.7,2017/1/11 1:05,89.95
10.185.4.7,2017/1/11 1:20,89.85
10.185.4.7,2017/1/11 1:35,89.72
10.185.4.7,2017/1/11 1:50,89.79
10.185.4.7,2017/1/11 2:05,89.56
10.185.4.7,2017/1/11 2:20,89.75
10.185.4.7,2017/1/11 2:35,90.26
10.185.4.7,2017/1/11 2:50,88.56
10.185.4.7,2017/1/11 3:05,88.61
10.185.4.7,2017/1/11 3:20,89.02
10.185.4.7,2017/1/11 3:35,88.04
10.185.4.7,2017/1/11 4:05,88.03
10.185.4.7,2017/1/11 4:20,88.49
10.185.4.7,2017/1/11 4:35,89.82
10.185.4.7,2017/1/11 4:50,90.18
10.185.4.7,2017/1/11 5:05,90.3
10.185.4.7,2017/1/11 5:20,90.31
10.185.4.7,2017/1/11 5:35,89.85
10.185.4.7,2017/1/11 5:50,89.76
10.185.4.7,2017/1/11 6:05,89.83
10.185.4.7,2017/1/11 6:20,88.54
10.185.4.7,2017/1/11 6:35,88.56
10.185.4.7,2017/1/11 6:50,88.49
10.185.4.7,2017/1/11 7:05,88.57
10.185.4.7,2017/1/11 7:20,88.49
10.185.4.7,2017/1/11 7:35,88.52
10.185.4.7,2017/1/11 7:50,88.49
10.185.4.7,2017/1/11 8:05,88.5
10.185.4.7,2017/1/11 8:20,88.51
10.185.4.7,2017/1/11 8:35,88.53
10.185.4.7,2017/1/11 8:50,88.87
10.185.4.7,2017/1/11 9:05,88.65
10.185.4.7,2017/1/11 9:20,88.22
10.185.4.7,2017/1/11 9:35,88.93
10.185.4.7,2017/1/11 9:50,87.26
10.185.4.7,2017/1/11 10:05,87.36
10.185.4.7,2017/1/11 10:20,87.28
10.185.4.7,2017/1/11 10:35,87.45
10.185.4.7,2017/1/11 10:50,88.74
10.185.4.7,2017/1/11 11:05,88.33
10.185.4.7,2017/1/11 11:20,88.13
10.185.4.7,2017/1/11 11:35,87.81
10.185.4.7,2017/1/11 11:50,87.81
10.185.4.7,2017/1/11 12:05,88.19
10.185.4.7,2017/1/11 12:20,88.43
10.185.4.7,2017/1/11 12:35,88.94
10.185.4.7,2017/1/11 12:50,88.41
10.185.4.7,2017/1/11 13:05,88.1
10.185.4.7,2017/1/11 13:20,87.81
10.185.4.7,2017/1/11 13:35,87.92
